iter	Passed	Remaining
0	1	138
1	4	197
2	6	198
3	8	197
4	10	205
5	13	213
6	15	201
7	17	200
8	20	212
9	22	203
10	25	205
11	27	201
12	28	192
13	29	181
14	31	180
15	35	183
16	37	181
17	39	178
18	40	174
19	42	170
20	56	212
21	57	205
22	59	200
23	63	201
24	65	195
25	66	189
26	68	184
27	71	183
28	73	179
29	74	173
30	75	168
31	78	166
32	79	162
33	81	157
34	82	152
35	83	147
36	83	143
37	84	138
38	85	134
39	86	130
40	87	126
41	87	121
42	88	117
43	89	114
44	90	110
45	91	107
46	92	104
47	93	101
48	94	98
49	95	95
50	95	92
51	97	89
52	97	86
53	98	84
54	99	81
55	100	78
56	100	75
57	101	73
58	102	70
59	102	68
60	103	66
61	104	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	111	45
71	112	43
72	113	41
73	114	40
74	114	38
75	115	36
76	116	34
77	116	32
78	117	31
79	118	29
80	118	27
81	119	26
82	120	24
83	120	22
84	121	21
85	123	20
86	124	18
87	125	17
88	126	15
89	126	14
90	127	12
91	128	11
92	129	9
93	129	8
94	130	6
95	131	5
96	131	4
97	132	2
98	133	1
99	133	0
